2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	51	 Ures: 	8.1048890538e-02	 Vres: 	3.3703404671e+00	 Pres: 	1.6115538259e+00	 
Iteration no:	52	 Ures: 	7.9743552579e-02	 Vres: 	3.3581424768e+00	 Pres: 	1.4729753166e+00	 
Iteration no:	53	 Ures: 	7.8378864276e-02	 Vres: 	3.3429254870e+00	 Pres: 	1.3511976155e+00	 
Iteration no:	54	 Ures: 	7.6952291888e-02	 Vres: 	3.3244058124e+00	 Pres: 	1.2499850641e+00	 
Iteration no:	55	 Ures: 	7.5463938885e-02	 Vres: 	3.3021984795e+00	 Pres: 	1.1728050413e+00	 
Iteration no:	56	 Ures: 	7.3915762768e-02	 Vres: 	3.2758456185e+00	 Pres: 	1.1221466422e+00	 
Iteration no:	57	 Ures: 	7.2311018390e-02	 Vres: 	3.2448790021e+00	 Pres: 	1.0987180914e+00	 
Iteration no:	58	 Ures: 	7.0653944282e-02	 Vres: 	3.2089030775e+00	 Pres: 	1.1009433898e+00	 
Iteration no:	59	 Ures: 	6.8949676191e-02	 Vres: 	3.1676842758e+00	 Pres: 	1.1251339123e+00	 
Iteration no:	60	 Ures: 	6.7204348339e-02	 Vres: 	3.1212337520e+00	 Pres: 	1.1662764767e+00	 
Iteration no:	61	 Ures: 	6.5425328123e-02	 Vres: 	3.0698731997e+00	 Pres: 	1.2189884574e+00	 
Iteration no:	62	 Ures: 	6.3621523145e-02	 Vres: 	3.0142761695e+00	 Pres: 	1.2782285085e+00	 
Iteration no:	63	 Ures: 	6.1803698864e-02	 Vres: 	2.9554797967e+00	 Pres: 	1.3396448913e+00	 
Iteration no:	64	 Ures: 	5.9984748707e-02	 Vres: 	2.8948637738e+00	 Pres: 	1.3996533285e+00	 
Iteration no:	65	 Ures: 	5.8179863902e-02	 Vres: 	2.8340949299e+00	 Pres: 	1.4553779969e+00	 
Iteration no:	66	 Ures: 	5.6406555987e-02	 Vres: 	2.7750374104e+00	 Pres: 	1.5045486342e+00	 
Iteration no:	67	 Ures: 	5.4684490192e-02	 Vres: 	2.7196308820e+00	 Pres: 	1.5453994453e+00	 
Iteration no:	68	 Ures: 	5.3035093502e-02	 Vres: 	2.6697430534e+00	 Pres: 	1.5765857206e+00	 
Iteration no:	69	 Ures: 	5.1480909597e-02	 Vres: 	2.6270081930e+00	 Pres: 	1.5971200560e+00	 
Iteration no:	70	 Ures: 	5.0044688030e-02	 Vres: 	2.5926692895e+00	 Pres: 	1.6063250345e+00	 
Iteration no:	71	 Ures: 	4.8748221145e-02	 Vres: 	2.5674458301e+00	 Pres: 	1.6037982944e+00	 
Iteration no:	72	 Ures: 	4.7610982164e-02	 Vres: 	2.5514490863e+00	 Pres: 	1.5893864967e+00	 
Iteration no:	73	 Ures: 	4.6648668858e-02	 Vres: 	2.5441604726e+00	 Pres: 	1.5631656853e+00	 
Iteration no:	74	 Ures: 	4.5871809016e-02	 Vres: 	2.5444768233e+00	 Pres: 	1.5254264940e+00	 
Iteration no:	75	 Ures: 	4.5284618237e-02	 Vres: 	2.5508130363e+00	 Pres: 	1.4766635097e+00	 
Iteration no:	76	 Ures: 	4.4884297129e-02	 Vres: 	2.5612423119e+00	 Pres: 	1.4175688829e+00	 
Iteration no:	77	 Ures: 	4.4660902343e-02	 Vres: 	2.5736503891e+00	 Pres: 	1.3490311009e+00	 
Iteration no:	78	 Ures: 	4.4597831254e-02	 Vres: 	2.5858828665e+00	 Pres: 	1.2721408615e+00	 
Iteration no:	79	 Ures: 	4.4672850575e-02	 Vres: 	2.5958713985e+00	 Pres: 	1.1882074209e+00	 
Iteration no:	80	 Ures: 	4.4859509971e-02	 Vres: 	2.6017321236e+00	 Pres: 	1.0987909362e+00	 
Iteration no:	81	 Ures: 	4.5128738967e-02	 Vres: 	2.6018358213e+00	 Pres: 	1.0057594557e+00	 
Iteration no:	82	 Ures: 	4.5450434406e-02	 Vres: 	2.5948531093e+00	 Pres: 	9.1138317698e-01	 
Iteration no:	83	 Ures: 	4.5794892343e-02	 Vres: 	2.5797796709e+00	 Pres: 	8.1848114625e-01	 
Iteration no:	84	 Ures: 	4.6133999657e-02	 Vres: 	2.5559466904e+00	 Pres: 	7.3062704375e-01	 
Iteration no:	85	 Ures: 	4.6442156996e-02	 Vres: 	2.5230210577e+00	 Pres: 	6.5237104031e-01	 
Iteration no:	86	 Ures: 	4.6696944837e-02	 Vres: 	2.4809989728e+00	 Pres: 	5.8927997255e-01	 
Iteration no:	87	 Ures: 	4.6879566619e-02	 Vres: 	2.4301956214e+00	 Pres: 	5.4731266721e-01	 
Iteration no:	88	 Ures: 	4.6975110241e-02	 Vres: 	2.3712327145e+00	 Pres: 	5.3100825377e-01	 
Iteration no:	89	 Ures: 	4.6972667132e-02	 Vres: 	2.3050248809e+00	 Pres: 	5.4109825655e-01	 
Iteration no:	90	 Ures: 	4.6865341150e-02	 Vres: 	2.2327651131e+00	 Pres: 	5.7375888250e-01	 
Iteration no:	91	 Ures: 	4.6650171203e-02	 Vres: 	2.1559085670e+00	 Pres: 	6.2247466434e-01	 
Iteration no:	92	 Ures: 	4.6327983391e-02	 Vres: 	2.0761528871e+00	 Pres: 	6.8055191417e-01	 
Iteration no:	93	 Ures: 	4.5903181649e-02	 Vres: 	1.9954117636e+00	 Pres: 	7.4246427180e-01	 
Iteration no:	94	 Ures: 	4.5383480378e-02	 Vres: 	1.9157766410e+00	 Pres: 	8.0407081857e-01	 
Iteration no:	95	 Ures: 	4.4779578413e-02	 Vres: 	1.8394596933e+00	 Pres: 	8.6237498861e-01	 
Iteration no:	96	 Ures: 	4.4104770791e-02	 Vres: 	1.7687102124e+00	 Pres: 	9.1522515133e-01	 
Iteration no:	97	 Ures: 	4.3374493205e-02	 Vres: 	1.7056980075e+00	 Pres: 	9.6108032531e-01	 
Iteration no:	98	 Ures: 	4.2605794126e-02	 Vres: 	1.6523633374e+00	 Pres: 	9.9884993674e-01	 
Iteration no:	99	 Ures: 	4.1816731800e-02	 Vres: 	1.6102445252e+00	 Pres: 	1.0277887129e+00	 
Iteration no:	100	 Ures: 	4.1025698445e-02	 Vres: 	1.5803097297e+00	 Pres: 	1.0474277638e+00	 
Iteration no:	101	 Ures: 	4.0250682494e-02	 Vres: 	1.5628314012e+00	 Pres: 	1.0575283134e+00	 
Iteration no:	102	 Ures: 	3.9508491752e-02	 Vres: 	1.5573410099e+00	 Pres: 	1.0580493817e+00	 
